track_id,song_id,artist_id,artist_name,song_title,genre,song_1,song_2,song_3,centered_song_1,centered_song_2,centered_song_3,corr_song_1,corr_song_2,corr_song_3,cos_song_1,cos_song_2,cos_song_3,tfidf_dot_1,tfidf_dot_2,tfidf_dot_3,tfidf_centered_1,tfidf_centered_2,tfidf_centered_3,tfidf_corr_1,tfidf_corr_2,tfidf_corr_3,tfidf_cos_1,tfidf_cos_2,tfidf_cos_3
TRBVPVV128F425F14F,SOOHYOB12CF5F87A28,ARF8HTQ1187B9AE693,Daft Punk,Touch It / Technologic,electronic,Ice Is Workin' It,Shake It And Break It,If It Aint Broke Break It,Ice Is Workin' It,Shake It And Break It,If It Aint Broke Break It,Whip It,It's De-Lovely,It's Too Good To Talk About Now,Whip It,It's De-Lovely,It's Too Good To Talk About Now,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,Overdose (Album Version),She Be The One,Around The Way [Explicit Album Version],Hoodrats,She Be The One,Tune Me Out,The Street And Babe Shadow,She Be The One,Tune Me Out,Black
TRBROFT128F92F8769,SOYPPAZ12A8C143CD6,ARORMBJ1241B9CDB1A,Ke$ha,Boots &  Boys,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Splurge,Overcome,I And You,Pray For Me,Overcome,I And You,Pray For Me,Manhattan,Joy Ride,Milkshake,Joy Ride,Joy,Manhattan,Jonesy Boy,Joy,Infant Joy,Jonesy Boy,Joy,Infant Joy
TRIIWCU128F92F876A,SOQVJWF12A58A801EF,ARORMBJ1241B9CDB1A,Ke$ha,Animal,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Lovely Thing,Intro,Complicated,Lovely Thing,I'm On The Mic,Complicated,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,Undead,Sleep Tight,The Monitor,Back When,A Viable Commercial,Sleep Tight,The 59th Street Bridge Song (Feelin' Groovy),A Viable Commercial,Sleep Tight,The Monitor
TRVDAHO128F92F231E,SOXUSKK12A8C144F94,AR0IVTL1187B9AD520,Katy Perry,Hot N Cold (Innerpartysystem Main),electronic,Interlude 5,I'm A Winner (Amended Album Version),My Darling,Interlude 5,I'm A Winner (Amended Album Version),My Darling,Delicious,You're A Soldier,You're The Top,Delicious,You're A Soldier,You're The Top,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Safe + Sound,Interlude 5,Warm Bed,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),It's Only Your Life,Time Is Money (Bastard),Dudley,It's Only Your Life,Dudley,Time Is Money (Bastard)
TRUGOGT128F92F29E9,SONPGGS12AB0183AD2,AR0WLH6119B8669027,Owl City,Captains and Cruise Ships,electronic,Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Excuse You,Fever Moon,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Excuse You,Bad Mutha,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Weak Become Heroes,My Darling,Weak Become Heroes,Dear Suzie,Spaceman,faraway voice,Spaceman,Mary,faraway voice,Spaceman,Weak Become Heroes
TRNEITZ128F92F29EA,SOIFHDS12AB0183AD5,AR0WLH6119B8669027,Owl City,Designer Skyline,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),My Darling,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Splurge,Viva ! blunt force trauma,Snowbirds And Townies,Out of the sun,Viva ! blunt force trauma,Snowbirds And Townies,Out of the sun,8 Mile,Mortal City,Mr. Wiggles,8 Mile,Mortal City,Expansion Team Theme,Sunny Road,Marrakech,Red Gold And Green,Sunny Road,Marrakech,Where The Girls Are
TRMIHFS128F92F2A01,SOLCHRP12AC468D757,AR0WLH6119B8669027,Owl City,Early Birdie,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),The Irony Of It All (Album Version),Ten Toes Tall,How We Do,The Irony Of It All (Album Version),Ten Toes Tall,How We Do,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Interlude 5,Hair,Chorus Of Angels,Sleeping With The Lights On,How Deep Is The Ocean (How High Is The Sky),From Underneath,Adam Lives In Theory,Hair,2 Deep
TRDEVZQ128F931BAED,SOQLHST12AB0184A27,AR0WLH6119B8669027,Owl City,Meteor Shower,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I Want You,I Want You,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,Soobax,I Don't Need This,Keep Moving,Soobax,I Don't Need This,Keep Moving,Interlude 5,8 Mile,Memorial Day,Memorial Day,Down On My Knees,Ain't No Stopping Us Now,Don't Let It Get To You (Album Version),Banstead,Summer On The West Hill,Don't Let It Get To You (Album Version),Banstead,Summer On The West Hill
TRCXWLU128F92F2A0D,SOWHUXB12AB01816EE,AR0WLH6119B8669027,Owl City,This Is The Future,electronic,Interlude 5,My Darling,Spitfall,Interlude 5,My Darling,Spitfall,Disgrace (Unholy Remix),Fat And Alone,Spitfall,Disgrace (Unholy Remix),Fat And Alone,Spitfall,Interlude 5,8 Mile,Black Smif-n-Wessun (LP Version),Black Smif-n-Wessun (LP Version),Interlude 5,Turn It On,Crime,Wake Up Call (Album Version),Curse,Crime,Tears,Modern Crusaders.
TRVJTNA128F934D19D,SOKTUGM12AB0184005,ARRBF3M1187FB4D59F,30 Seconds To Mars,Kings and Queens (Innerpartysystem Remix Main),electronic,Interlude 5,One of Us,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,One of Us,Crazy World,Goons of Hazzard,Black Milk,Tyrants,Goons of Hazzard,Black Milk,Tyrants,Resolution,I Love U In Me ( LP Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Resolution,Sticky,I Love U In Me ( LP Version),Starbound,Heaven's In Here (1999 Digital Remaster),Africa Unite,Starbound,Heaven's In Here (1999 Digital Remaster),Africa Unite
TRRBLPE128F9311B20,SOMSZSA12AB0182E3A,ARVKJGO12086C15075,LMFAO,Bounce,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Claimin' True,Soopaman Luva 3,We Brings Heat,Claimin' True,Soopaman Luva 3,We Brings Heat,Strictly 4 My N.I.G.G.A.Z.,Keep Your Shit The Hardest,Safe + Sound,Strictly 4 My N.I.G.G.A.Z.,Keep Your Shit The Hardest,Still On It,Strictly 4 My N.I.G.G.A.Z.,Rowdy Rowdy,24's,Strictly 4 My N.I.G.G.A.Z.,Rowdy Rowdy,The Worst
TRWQYOY128F425BD4C,SOODXDV12A8AE4807F,AR5K3CW1187FB45B46,Crystal Castles,Vanished,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),My Darling,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),My Darling,Cheatin',She's On Drugs,We Don't Need You,Cheatin',She's On Drugs,The Man In You,Mortal City,8 Mile,1st Booty On Duty,Mortal City,An Open Letter To NYC,Holding On,On Bedford and Grand,Dead Cities,Riot City,Dead Cities,Greensleeves,On Bedford and Grand
TRLLRQA128F427C709,SOSKKKY12A8C13ED21,AR5K3CW1187FB45B46,Crystal Castles,Xxzxcuzx,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Kinky Sex Makes the World Go 'Round,The Place We Dwell,Tea For Two (Featuring Jimmy Scott),Kinky Sex Makes the World Go 'Round,The Place We Dwell,Tea For Two (Featuring Jimmy Scott),Interlude 5,Dirty Money,Face Down,Dirty Money,Face Down,Interlude 5,Left For Dead,Love Is (What I Say),You're The Voice,Left For Dead,You're The Voice,Love Is (What I Say)
TRDFWPG128F148D4DF,SOIWRAH12A6D4F66C0,ARBEOHF1187B9B044D,Madonna,Die Another Day [Live],electronic,Everytime I...,8 Mile,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Everytime I...,8 Mile,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Cynically Depressed,School Days,I'll Die,Cynically Depressed,School Days,I'll Die,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Life of Tha Party,Life of Tha Party,Can't Tell Me Nothing,Plumskinzz (Loose Hoe_ God & Cupid),Just Another Day (Album Version),My Dearest Friend,Woke up Dreaming,Just Another Day (Album Version),Woke up Dreaming,Life of Tha Party
TRVWMWN128E0788952,SOMANNK12A6701F0A1,ARN5NHX1187FB4F755,The Smashing Pumpkins,Perfect (Nellee Hooper Instrumental),electronic,Interlude 5,I'm A Winner (Amended Album Version),I Want You,Interlude 5,I Want You,I'm A Winner (Amended Album Version),Ship Jumper,Dude_ What Is a Land Pirate?,We Are In Love,Dude_ What Is a Land Pirate?,Ship Jumper,On the Outside,Interlude 5,Closer To You,The Lover In Me,The Lover In Me,Survive,Lovers In Captivity,Pass The Dutchie,The Lover In Me,Lovers In Captivity,Pass The Dutchie,The Lover In Me,Lovers In Captivity
TRDHPGJ128F4289C44,SOESBMW12A8AE48210,AR8V1X71187B9B919B,Kylie Minogue,Love At First Sight (The Scumfrog's Beauty And The Beast Vocal Edit),electronic,Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Delirious Love,Hear Me Lord,Cruisin',Delirious Love,Hear Me Lord,Cruisin',Interlude 5,Kickin' It With Your Girlfriend,Weak Become Heroes,Kickin' It With Your Girlfriend,Kiss,I Believe,You Are The Only One I Love,I Believe,Kiss,You Are The Only One I Love,I Believe,Kiss
TRFSQXF128F9311B25,SOCHMTD1288D3E7D9D,ARVKJGO12086C15075,LMFAO,I Am Not A Whore,electronic,8 Mile,Over It (Acoustic),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Over It (Acoustic),Everytime I...,Not A Heel,Hunter,Bitch,Not A Heel,Hunter,Bitch,8 Mile,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Hoodrats,Mr. Cool (Featuring Mario Winans) (Album Version),Love Me Tender,Mr. Cool (Featuring Mario Winans) (Album Version),Rush,Love Me Tender,Mr. Cool (Featuring Mario Winans) (Album Version),Rush
TRXACXM12903CEC365,SOEFTYS129F06C1DEB,ARPD2KK1187B9B8B98,Cascada,Fever,electronic,Touch It / Technologic,I'm A Winner (Amended Album Version),Ice Is Workin' It,Touch It / Technologic,I'm A Winner (Amended Album Version),Ice Is Workin' It,Whip It,Corruption,Save It,Whip It,Save It,French Kissing,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Man In The Mirror,Make Me Lose Control,Better Than Making Love,Better Than Making Love,Call Me Up,Kiss me now,Better Than Making Love,Call Me Up,Kiss me now
TRWWVGC12903CB5C50,SOBSJQH12AB01876C3,AR6LZB61187B9AF431,Depeche Mode,Freestate,electronic,Cancel (Album Version),Acid 8000,My Darling,Cancel (Album Version),Acid 8000,All Day Sucker,Firefly (LP Version),Cancel (Album Version),Brother Sport,Firefly (LP Version),Cancel (Album Version),Saint Judas (LP Version),Mr. Outsider,Man In The Mirror,Interlude 5,Let Yourself Go,Get This Party Started: Ghost Remix,Enjoy Yourself,Let Yourself Go,Phoenix From The Fire,Enjoy Yourself,Let Yourself Go,Phoenix From The Fire,Enjoy Yourself
TRYIJWH128F146948C,SOXZUAV12A6310F21A,AR6LZB61187B9AF431,Depeche Mode,Personal Jesus,electronic,Interlude 5,My Darling,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,My Darling,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Personal Jesus,Just What Can Happen,Hold You,Personal Jesus,Just What Can Happen,Hold You,Personal Jesus,Reach Out And Touch (Live @ Fillmore West),Overdose (Album Version),Personal Jesus,Reach Out And Touch (Live @ Fillmore West),Talk To My Heart (Recorded Live In London '99),Personal Jesus,-9-,Reach Out And Touch (Live @ Fillmore West),Personal Jesus,-9-,Reach Out And Touch (Live @ Fillmore West)
TRDIAZY12903CB6532,SOWUJPS12AB018ACA8,ARAXU5Z1187B98FECD,Gorillaz,Broken,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Circus,Magical,Operation Rescue,The Circus,Magical,Operation Rescue,Spitfall,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),The Hourglass,Spitfall,I'm a Broken Heart,Forgiveness,I'm a Broken Heart,Broken Hearted,The Weak Shall Prevail,I'm a Broken Heart,Broken Hearted,Forgiveness
TRTUJAL128F423E18D,SOGNWLL12AF72AAA61,ARAXU5Z1187B98FECD,Gorillaz,Kids With Guns (Quiet Village Remix),electronic,Touch It / Technologic,Ice Is Workin' It,Shake It And Break It,Touch It / Technologic,Ice Is Workin' It,Shake It And Break It,Touch It / Technologic,Doesn't Make It Alright,Whip It,Touch It / Technologic,Doesn't Make It Alright,Whip It,Kids With Guns (Jamie T's Turns To Monsters Mix),Interlude 5,Push Me Away,Kids With Guns (Jamie T's Turns To Monsters Mix),Push Me Away,Keep It Real,Kids With Guns (Jamie T's Turns To Monsters Mix),To Satellite,Push Me Away,Kids With Guns (Jamie T's Turns To Monsters Mix),To Satellite,Push Me Away
TRBTXNE12903CB6528,SOCMRWF12AB018AC92,ARAXU5Z1187B98FECD,Gorillaz,Rhinestone Eyes,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Otha Fish,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Otha Fish,Bump,Peace_ Prosperity & Paper,Flow On (Move Me No Mountain),Peace_ Prosperity & Paper,Bump,Flow On (Move Me No Mountain),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Beautiful Struggle,Dandelion Hill,Soul Power,Beautiful Struggle,Dandelion Hill,99 Red Balloons,California Blue,Dandelion Hill,99 Red Balloons,Soul Power
TRKQRSQ128F92D5134,SOTTAJB12A8C142C18,AR4L4WQ1187FB51996,The Prodigy,Invaders Must Die,electronic,NDW 2005,Stand,The Earth Dies Screaming,NDW 2005,Stand,The Earth Dies Screaming,Popkultur / Meide,Immersed In Pain,We'll Never Die,Popkultur / Meide,Immersed In Pain,We'll Never Die,The Earth Dies Screaming,Nipple To The Bottle,I'll Die,The Earth Dies Screaming,Nipple To The Bottle,I'll Die,Stavesail,Nipple To The Bottle,The Earth Dies Screaming,Stavesail,Nipple To The Bottle,The Earth Dies Screaming
TRBFVAA128F423C356,SOCWAFA12A8AE48A78,AR4L4WQ1187FB51996,The Prodigy,Wake Up Call (Album Version),electronic,Interlude 5,I'm A Winner (Amended Album Version),Do The Bartman,Interlude 5,I'm A Winner (Amended Album Version),Do The Bartman,Undertaker,Come Back When It Ain't Rainin',Strike It Up,Undertaker,Come Back When It Ain't Rainin',Put It On Me,Right Here Right Now,Chorus Of Angels,Interlude 5,Right Here Right Now,Chorus Of Angels,Therapy,Right Here Right Now,From This Dream,Therapy,From This Dream,Right Here Right Now,Therapy
TRFSCLD12903CD213F,SOENGNL12AB018E1BD,AR4L4WQ1187FB51996,The Prodigy,We Gonna Rock,electronic,Stop The Rock,Here We Go,It's A Party,Stop The Rock,Here We Go,It's A Party,Rock Lobster (Live),Good Times,Convoy,Rock Lobster (Live),Good Times,Convoy,The Answer,Baby We've Got A Date (Rock It Baby),Stop The Rock,Stop The Rock,Baby We've Got A Date (Rock It Baby),The Answer,Stop The Rock,Rock Lobster (Live),Baby We've Got A Date (Rock It Baby),Stop The Rock,Rock Lobster (Live),Baby We've Got A Date (Rock It Baby)
TRZTQEP128E0792526,SOYMEOT12A6701DE9A,ARK9TRQ1187B99C095,Nine Inch Nails,The Great Collapse,electronic,Interlude 5,Ice Is Workin' It,Touch It / Technologic,Interlude 5,Ice Is Workin' It,Touch It / Technologic,A Floater Left With Pleasure In The Executive Washroom.,Day Like This,C.O.A.,A Floater Left With Pleasure In The Executive Washroom.,Day Like This,C.O.A.,Take My Money,That Kind Of Woman,Ain't That Just Like A Woman,Take My Money,That Kind Of Woman,Ain't That Just Like A Woman,W.O.M.A.N.,Ain't That Just Like A Woman,I'm A Woman,W.O.M.A.N.,Ain't That Just Like A Woman,I'm A Woman
TRLTFVP128E0782B34,SOITPXC12A6310E0DA,AR9L6R11187B9AA3F2,Duran Duran,Electric Barbarella (Radio Edit),electronic,Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Epilogue,Famous Blue Raincoat,She's The Source,Epilogue,Famous Blue Raincoat,Boxcutter Rap,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Time To Make You Mine,Time To Make You Mine,Kiss,A Real Fine Place To Start,Time To Make You Mine,You're So Fine,A Real Fine Place To Start,Time To Make You Mine,You're So Fine,A Real Fine Place To Start
TRFVWXW128F931A0E9,SOPERLI129F0824AA5,ARAOQ5T1187FB435AB,Björk,Pluto,electronic,8 Mile,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),8 Mile,Interlude 5,Everytime I...,Wasteland,Pardon Me,Birds Of Paradise,Wasteland,Pardon Me,Birds Of Paradise,Undead,8 Mile,Interlude 5,Tomorrow's Just Another Day,Undead,This Is The New Shit,i like the sunrise,All The Bodies,Wait,i like the sunrise,All The Bodies,Wait
TRKQQMW128F92D54DF,SOMXUUY12A8C141D38,ARD063K11C8A422ED7,Empire Of The Sun,Delta Bay,electronic,Otha Fish,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Otha Fish,I'm A Winner (Amended Album Version),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Down In The Alley,The What,Unintended Long Term Effects,Down In The Alley,The What,Unintended Long Term Effects,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,The Dance,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Who Shot Sam,Shot In The Dark,Who Shot Sam,The Messiah Will Come Again,Shot In The Dark,Who Shot Sam,The Messiah Will Come Again,Shot In The Dark
TRFYMPB128F93100C0,SOXKRRQ12AB017C0F2,ARD063K11C8A422ED7,Empire Of The Sun,We Are The People (Shazam Remix),electronic,Interlude 5,I'm A Winner (Amended Album Version),I Want You,Interlude 5,I'm A Winner (Amended Album Version),I Want You,Revenge,Rush,Irresistible ( LP Version ),Revenge,Rush,Irresistible ( LP Version ),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),My Darling,Believe,One of Us,One Tribe,Even So,Believe,The End Of The World,Even So,Believe,The End Of The World
TRBCSDW128F424D686,SOQWSGM12A6D4FC3C6,ARIRCA31187FB58E84,The Maine,You Left Me,electronic,Interlude 5,Hold Me Down (Album Version),That's What You Told Me,Interlude 5,Hold Me Down (Album Version),That's What You Told Me,It's Too Late,Touch Me,Play With Fire,It's Too Late,Touch Me,Play With Fire,Touch Me,Can't Get You Off My Mind,Kozmic Blues,Can't Get You Off My Mind,Touch Me,Kozmic Blues,Can't Get You Off My Mind,Outside World,Love Is Strange,Can't Get You Off My Mind,Outside World,Love Is Strange
TRRXQJA128F1472A56,SOYPJMP12AF72A901D,ARWA8AH1187FB3FC84,Hot Chip,The Warning,electronic,I'm A Winner (Amended Album Version),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Hunter killer,Waiting For The Day,It's All Up To You,Waiting For The Day,Hunter killer,It's All Up To You,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),"Pacifics (Sdtrk ""N.Y. Is Red Hot"")",Mainstream,"Pacifics (Sdtrk ""N.Y. Is Red Hot"")",Show Me The Money,Mainstream,"Pacifics (Sdtrk ""N.Y. Is Red Hot"")",Show Me The Money,Lullaby of the Moths,"Pacifics (Sdtrk ""N.Y. Is Red Hot"")",Show Me The Money,Lullaby of the Moths
TRMDYBW128F14A17E8,SOODBDC12A8C13E4E9,ARTH03J1187FB3E00C,Enter Shikari,Keep It On Ice,electronic,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),My Darling,New Town,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Acid 8000,New Town,Captor Of Sin (Slayer Cover),Lord Of Eternity,Super Reality,Captor Of Sin (Slayer Cover),Lord Of Eternity,Super Reality,She Ain't Afraid,8 Mile,Undead,She Ain't Afraid,8 Mile,Undead,My Funny Valentine,His Name Is Mutty Ranks,My Funny Valentine,His Name Is Mutty Ranks,My Funny Valentine,Fluffy Pup
TRCNUNL128F93437CF,SOYQNWH12AB0180C07,ARTH03J1187FB3E00C,Enter Shikari,The Jester,electronic,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),I'm A Winner (Amended Album Version),Keep It Real,You & I,Flow On (Move Me No Mountain),Keep It Real,Flow On (Move Me No Mountain),You & I,Interlude 5,Overdose (Album Version),Touch Me,Get Your Hands Up,Overdose (Album Version),Everything For Free,10_000 Feet,Black And Blue Again,Intro,Get Your Hands Up,10_000 Feet,Here I Go Again
TRIPJIJ128F1453AE0,SORSPQO12A6D4F782F,AREACYD1187FB566DE,Enya,Lazy Days,electronic,Interlude 5,Ice Is Workin' It,Touch It / Technologic,Interlude 5,Ice Is Workin' It,Touch It / Technologic,Mistress Of Disguise,Swept Away,It's Okay To Think About Ending,Mistress Of Disguise,Swept Away,It's Okay To Think About Ending,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),St. Louie,Close My Eyes,One Happy Day,Jordan River,Dandelion Hill,One Happy Day,Take It Back,Ocean Floor,One Happy Day,Take It Back,Something I Can Never Have
TRPLRVY128F1473EBE,SOTCEXG12A6D4F60FE,AREACYD1187FB566DE,Enya,Someone Said Goodbye,electronic,Interlude 5,I Want You,I'm A Winner (Amended Album Version),Interlude 5,I Want You,I'm A Winner (Amended Album Version),I Don't Know Why You Don't Want Me,I Don't Know Why I Love You,I Don't Know That You Don't Know My Name (2004 Digital Remaster),I Don't Know Why You Don't Want Me,I Don't Know Why I Love You,Why Can't You Behave?,Never Did Say Goodbye,Words Get In The Way,Interlude 5,Never Did Say Goodbye,Words Get In The Way,Walking The Backstreets And Crying,Never Did Say Goodbye,Treason,All We Ever Do Is Say Goodbye,Never Did Say Goodbye,Treason,All We Ever Do Is Say Goodbye
TRWPUDX128F148F907,SODFLBN12A6D4F923A,AREACYD1187FB566DE,Enya,The Magic Of The Night,electronic,Interlude 5,I'm A Winner (Amended Album Version),Otha Fish,Interlude 5,Otha Fish,I'm A Winner (Amended Album Version),The Power Of Lard,Lost,MAPS OF REALITY,The Power Of Lard,Lost,MAPS OF REALITY,Close My Eyes,Angel,Angel Without A Prayer,Angel Without A Prayer,Angels on Earth,Angel,Flying high,Angels on Earth,When I Needed an Angel,Flying high,Angels on Earth,When I Needed an Angel
TRZQTSM128F9328120,SOZDITZ12A58A7B41A,AR91C8S1187B990901,Bruce Springsteen,Gave It A Name,folk,Interlude 5,Ice Is Workin' It,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,Ice Is Workin' It,Touch It / Technologic,Mr. E. Leon Rauis,Ninja Of Love (Album Version),Mongoloid,Mr. E. Leon Rauis,Ninja Of Love (Album Version),Wolfman Jack,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),One of Us,Interlude 5,One of Us,Travelin' Soldier,El Lute,I Feel Sorry For Him,Bungee,Captain Anarchy,I Feel Sorry For Him,Bungee,Captain Anarchy
TRNZCWJ128F427099F,SODXHZV12A8C1340B6,ARH861H1187B9B799E,Johnny Cash,The Vanishing Race,folk,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,8 Mile,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,8 Mile,The Ride Of The Valkyries,Peaceful,The Sound of Silence,The Ride Of The Valkyries,Peaceful,The Sound of Silence,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Roll On (Eighteen Wheeler),The Dance,Roll On (Eighteen Wheeler),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Peace Train,Willie,Wabash Cannonball,Black Train Blues,Willie,Wabash Cannonball,Roll On (Eighteen Wheeler)
TRJQRAP128F9314B3F,SOMSWGY12AB017F755,ARZENOX1187B98A645,John Mayer,All We Ever Do Is Say Goodbye,folk,Interlude 5,I Want You,I'm A Winner (Amended Album Version),Interlude 5,I Want You,Don't You Say No,Don't Say Goodbye,Goodbye,Part Of The Process,Don't Say Goodbye,Goodbye,See You Next Summer,Don't Say Goodbye,Interlude 5,Never Did Say Goodbye,Don't Say Goodbye,Never Did Say Goodbye,Goodbye,This Lull-a-bye (Album Version),Don't Say No More,Goodbye,This Lull-a-bye (Album Version),Don't Say No More,Goodbye
TRETJUU128F426402A,SOYHOTV12A8C132B9B,ARZENOX1187B98A645,John Mayer,Clarity,folk,I Mean (I Don't Mean It),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,I Mean (I Don't Mean It),B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,Rubylove,Honeymoon With You,Dear Lover,Rubylove,Honeymoon With You,Dear Lover,Don't Take Away The Music,Tell You Something (Nana's Reprise),Been A Long Time (Featuring Nate Dogg),Don't Take Away The Music,Tell You Something (Nana's Reprise),Rubylove,Rubylove,Ooh La La,Throb,Rubylove,Ooh La La,Throb
